ABS: 171, 634   |   REL: 87, 624
ABS: 923, 483   |   REL: 839, 473
ABS: 563, 749   |   REL: 479, 739
ABS: 223, 649   |   REL: 139, 639
ABS: 124, 377   |   REL: 40, 367
ABS: 617, 655   |   REL: 533, 645
ABS: 155, 340   |   REL: 71, 330
ABS: 325, 641   |   REL: 241, 631
ABS: 125, 373   |   REL: 41, 363
ABS: 165, 344   |   REL: 81, 334
ABS: 204, 315   |   REL: 120, 305
ABS: 260, 281   |   REL: 176, 271
ABS: 124, 368   |   REL: 40, 358
ABS: 150, 343   |   REL: 66, 333
ABS: 188, 318   |   REL: 104, 308
ABS: 238, 289   |   REL: 154, 279
ABS: 141, 361   |   REL: 57, 351
ABS: 648, 82   |   REL: 564, 72
